,beer/ABV,review/appearance,review/aroma,review/overall,review/palate,review/taste
35745,6.6,4.0,4.5,3.5,4.0,3.5
3427,9.0,3.0,4.0,4.0,3.0,3.5
11670,4.4,4.0,4.0,3.0,3.0,3.5
18579,10.0,4.0,4.0,4.0,4.5,4.0
18442,4.7,4.0,4.5,4.5,4.0,4.0
5514,6.5,3.5,4.0,3.5,3.5,3.5
34380,6.6,3.5,3.5,4.5,4.0,4.5
1406,5.5,3.5,3.0,3.5,4.0,3.5
18750,6.6,4.0,4.0,4.5,4.0,4.5
11271,9.2,4.0,4.0,4.0,4.0,3.5
3637,6.5,4.5,4.0,4.0,4.0,4.0
5853,6.5,4.0,4.0,4.0,3.5,4.5
5504,5.0,4.0,3.0,3.0,3.0,3.0
8475,10.5,4.5,4.5,4.5,5.0,4.5
33588,8.1,3.5,4.0,4.0,4.0,4.0
4759,5.4,3.0,3.0,2.5,3.0,2.5
17295,4.7,4.0,2.5,3.0,2.5,2.5
14725,8.0,4.5,4.0,4.0,5.0,4.0
18339,10.2,4.0,4.0,3.5,4.0,4.5
34043,8.6,4.0,1.0,1.0,1.0,1.0
16612,4.7,4.0,3.5,4.0,4.0,4.0
32827,9.4,3.5,3.5,4.0,3.5,4.5
12273,4.4,3.5,4.0,5.0,4.5,4.0
25195,7.9,2.5,2.5,2.0,2.5,2.0
5395,6.9,4.0,3.0,4.0,4.5,5.0
5317,5.0,4.0,4.0,4.5,4.5,4.0
7080,11.2,4.5,4.5,5.0,5.0,5.0
7718,8.0,4.5,4.0,4.0,4.0,4.0
10850,8.0,4.0,3.5,3.0,3.5,3.5
2536,8.2,4.0,3.5,4.0,3.5,3.5
10821,6.5,4.5,4.0,4.0,3.5,4.0
31789,10.6,4.5,4.5,4.5,4.5,4.5
4716,4.7,4.0,4.0,3.5,3.5,4.0
6872,6.5,4.0,4.0,3.0,3.0,4.0
10861,5.0,3.5,3.0,4.0,3.0,3.5
5472,3.5,3.0,4.5,3.5,3.5,4.0
18048,10.5,4.5,4.5,5.0,5.0,4.5
9056,10.0,4.0,4.5,5.0,5.0,4.5
5576,8.6,4.0,5.0,4.5,4.0,4.5
28438,4.3,4.0,3.0,4.5,3.5,3.5
25381,6.0,4.0,4.0,4.0,4.0,3.5
5341,5.4,3.5,3.5,5.0,4.0,4.5
10436,7.7,4.5,3.5,4.5,4.0,4.0
34422,6.6,3.5,4.0,4.5,4.5,4.0
13125,8.4,4.0,4.0,4.0,4.0,4.5
25746,10.5,3.5,4.0,3.5,3.5,4.0
23609,7.2,4.0,4.5,4.5,3.5,4.5
20016,7.6,4.0,4.5,5.0,4.0,4.5
19897,6.0,4.0,4.0,4.0,3.5,4.0
17258,4.7,3.0,2.5,2.0,3.5,3.0
23506,8.0,3.5,3.5,3.5,4.0,3.0
16098,10.6,4.5,4.5,4.5,4.5,4.5
12286,6.6,4.0,4.0,4.0,4.0,4.0
20405,6.3,4.0,4.5,4.5,4.5,4.5
15039,7.0,4.0,4.5,4.0,4.0,4.0
13549,4.8,4.0,4.0,4.0,4.0,5.0
28705,10.2,4.0,4.0,3.5,4.0,4.5
5523,6.1,4.0,4.0,4.0,4.0,4.0
11783,5.4,3.5,1.5,1.0,1.5,1.0
31143,4.3,4.5,3.5,4.0,3.5,3.5
18373,7.5,2.0,4.0,4.0,4.0,4.0
25828,9.4,4.0,4.5,4.5,4.0,4.0
26847,8.4,4.0,4.5,4.0,4.0,4.0
4209,5.7,4.0,4.0,4.0,4.0,4.0
19415,6.0,3.5,3.5,3.5,3.5,3.5
1122,6.0,4.0,4.0,4.5,4.5,4.0
24823,8.3,4.0,4.0,5.0,4.5,4.5
31056,4.7,3.0,2.0,2.0,2.0,1.5
24138,10.5,3.0,2.5,3.5,4.0,3.0
14304,9.5,4.0,3.5,4.0,4.0,4.0
18956,6.6,4.0,4.0,3.5,3.0,4.0
24331,10.2,3.5,4.0,4.0,4.0,4.5
33488,11.2,4.0,4.0,3.5,4.0,4.0
29225,5.2,4.0,4.0,3.5,2.5,4.0
34071,5.7,3.5,4.5,4.0,3.0,4.0
14173,6.0,3.5,3.5,3.5,3.5,3.5
27609,3.5,2.5,1.5,2.5,2.5,2.5
28972,9.8,3.5,3.5,4.5,4.5,4.0
17210,4.5,4.0,4.0,4.5,4.5,4.5
21929,5.5,3.5,4.0,3.5,3.5,3.0
34392,11.2,4.5,4.5,4.5,5.0,4.5
22347,5.4,4.5,4.5,4.5,4.5,4.0
4921,7.0,4.0,3.5,3.5,3.0,3.5
36948,8.5,3.5,4.0,4.0,4.0,4.0
1923,9.4,4.5,4.0,4.5,5.0,4.5
3318,4.7,3.5,3.0,3.0,3.0,3.5
6527,5.0,4.0,3.5,4.0,3.5,3.5
21653,8.3,4.5,4.5,4.5,4.5,5.0
21651,10.0,4.0,3.5,4.0,4.0,3.5
16701,4.7,4.5,4.0,4.0,4.0,3.5
12338,4.4,3.5,3.5,4.5,4.0,4.0
29761,8.5,3.5,3.5,4.0,3.5,4.0
15756,9.4,4.5,4.5,4.0,4.0,4.5
25330,5.4,3.0,4.0,3.0,3.0,3.5
4614,4.75,3.5,3.5,3.5,4.0,4.0
30789,6.1,4.0,4.0,4.0,4.0,4.0
9723,10.5,5.0,4.0,4.0,5.0,4.5
20610,6.5,4.5,3.5,4.0,3.5,3.5
31671,4.5,4.0,3.5,4.0,4.5,3.5
7403,8.3,4.0,4.5,4.5,4.5,4.5
6355,4.9,4.0,3.5,3.5,3.0,3.5
20126,6.5,4.5,3.5,4.0,4.0,3.5
22178,11.2,4.0,5.0,4.5,4.5,4.0
8326,7.2,4.0,4.0,4.0,4.0,4.0
11846,10.6,5.0,5.0,5.0,5.0,5.0
6410,8.3,4.0,4.0,5.0,4.5,5.0
21401,5.9,3.0,2.5,3.5,2.5,3.0
14592,6.6,4.5,4.0,4.5,4.0,4.0
32657,11.2,4.0,4.0,4.0,4.0,4.5
32250,8.3,4.5,4.5,4.0,4.5,4.5
9995,12.0,4.5,4.5,4.0,4.5,4.0
35397,5.9,4.5,4.0,4.0,3.0,4.0
11794,7.2,4.0,4.0,4.0,4.0,4.0
4325,8.0,4.0,5.0,4.5,4.0,5.0
30454,4.8,3.5,3.0,4.0,4.0,3.5
31154,4.4,3.5,3.5,4.0,4.0,3.5
29444,7.2,4.0,4.5,4.0,4.0,4.5
25555,4.3,4.0,3.0,4.0,3.5,3.5
25727,6.5,4.0,4.5,4.0,3.5,4.0
9708,10.5,4.5,4.5,4.5,5.0,4.5
4121,6.6,4.0,4.5,4.0,4.0,4.0
31854,5.2,3.0,3.0,3.5,4.0,4.0
35287,4.4,4.0,3.0,3.5,3.5,3.5
6455,5.7,4.0,3.5,4.0,4.5,4.0
15601,10.0,4.0,5.0,4.5,4.5,4.5
12327,8.5,4.5,4.5,4.5,4.5,4.5
7075,10.0,4.0,4.0,3.5,3.5,3.5
2033,5.4,4.0,3.5,3.5,3.5,3.5
6434,8.3,4.0,5.0,4.5,4.0,4.5
35522,9.0,3.5,3.5,4.5,4.0,4.5
15555,11.2,4.5,4.5,5.0,4.5,5.0
20795,10.5,4.0,4.5,3.5,3.5,4.0
19402,8.3,4.0,5.0,5.0,4.5,4.5
7759,7.2,4.0,3.5,3.5,3.5,4.0
685,5.0,4.0,3.5,4.0,3.5,4.0
8372,6.3,4.5,4.0,4.0,4.0,4.0
4375,8.5,3.5,4.5,4.0,4.0,4.5
19612,9.0,4.5,3.5,3.5,4.0,4.0
13225,6.0,3.0,4.0,4.5,3.0,4.0
29417,10.5,4.5,4.5,4.5,5.0,5.0
33846,6.5,4.0,4.0,3.5,4.0,4.0
21462,7.2,4.5,4.0,4.5,4.5,4.5
4169,6.5,4.5,4.5,4.0,4.5,5.0
33738,6.1,4.5,4.0,4.0,4.0,4.5
729,8.4,4.0,4.0,4.0,4.0,4.5
5225,6.5,4.0,4.5,4.0,5.0,4.5
28876,4.4,3.0,3.0,3.5,3.0,4.0
29930,4.4,4.0,3.5,4.0,4.0,3.5
3106,5.4,4.5,4.0,4.5,4.5,4.0
9389,4.9,3.5,2.5,3.0,2.5,2.5
28468,5.4,3.0,4.0,3.5,3.5,4.0
30859,6.6,4.0,4.0,4.0,3.0,4.0
28012,8.3,5.0,4.5,5.0,4.5,5.0
7136,9.4,4.0,4.5,5.0,4.5,4.5
25804,5.9,4.0,4.0,4.0,4.0,4.0
22548,8.4,3.5,5.0,4.5,4.0,4.0
10250,10.0,4.5,3.0,3.5,3.5,3.5
6248,9.0,4.0,4.0,4.0,4.5,4.5
11262,5.2,4.0,4.5,4.0,4.0,4.5
24295,8.3,5.0,4.5,4.5,5.0,4.5
13401,9.0,4.0,4.0,3.5,4.0,4.5
2375,6.6,4.5,4.0,4.0,4.5,4.0
28147,8.2,4.0,4.0,2.0,3.0,2.0
34896,8.1,4.0,4.5,4.0,4.5,4.5
3517,10.5,4.5,4.0,4.0,5.0,4.0
14807,4.4,3.5,3.0,3.0,3.0,3.5
32294,3.8,4.0,3.0,4.0,4.0,4.0
34089,9.5,3.0,3.0,4.0,3.5,3.5
5763,6.2,4.0,3.0,3.5,4.0,3.0
29541,5.0,4.5,4.0,3.5,3.0,3.5
6594,5.4,3.0,3.5,3.0,3.0,1.5
15143,6.6,4.5,3.5,4.0,4.0,4.0
14354,6.0,4.0,4.5,5.0,4.0,4.5
460,6.1,4.0,4.5,4.0,3.5,3.5
1968,10.8,4.0,3.5,4.0,4.0,4.0
29307,6.3,4.5,4.5,3.5,4.0,4.5
23575,11.2,5.0,4.5,5.0,4.5,5.0
2361,8.3,5.0,4.5,5.0,5.0,5.0
3480,10.0,4.5,4.0,4.0,4.5,4.0
6758,12.0,4.0,4.0,4.0,4.0,4.0
24857,6.6,3.5,4.0,4.0,3.5,4.0
33523,6.3,4.0,2.0,3.0,3.5,4.0
25314,7.0,4.5,4.5,5.0,4.0,4.5
32202,7.9,3.5,5.0,3.0,4.0,3.5
1336,5.4,4.5,4.0,4.0,4.0,4.0
35514,12.0,4.0,4.5,3.5,4.0,4.0
19379,5.4,3.5,4.0,4.0,4.0,4.0
34673,6.8,4.0,4.5,4.0,3.5,3.5
15610,4.4,3.0,2.5,3.0,2.5,3.0
16437,5.9,4.5,3.5,4.0,3.5,4.0
18253,5.3,4.0,3.5,4.0,3.5,4.0
3289,5.0,3.0,3.5,4.0,3.0,3.5
16697,9.8,4.0,4.5,4.5,4.0,4.0
2201,6.4,3.5,4.5,3.0,3.5,3.0
11478,5.8,3.5,2.0,3.0,4.5,3.0
16695,12.0,4.0,4.5,4.5,4.0,4.0
29536,5.5,3.0,4.0,3.5,3.5,3.0
35310,10.6,5.0,5.0,4.5,4.5,5.0
31404,5.5,4.5,5.0,4.5,4.0,4.0
20440,5.4,4.0,4.0,4.0,4.0,3.5
4982,6.0,3.0,4.0,3.5,3.5,3.5
25974,6.2,4.0,3.5,4.5,4.0,4.0
33610,5.5,3.5,3.0,3.5,4.0,3.5
30346,9.4,4.5,4.0,4.0,3.5,4.0
35317,2.8,2.0,1.5,1.5,2.5,1.5
36101,5.2,4.0,4.0,2.5,3.5,2.5
1655,10.2,4.5,4.5,5.0,5.0,5.0
33670,7.6,3.5,3.5,3.5,4.0,4.0
16808,5.4,5.0,4.0,4.0,4.0,4.0
37200,6.6,4.5,4.0,4.5,4.5,4.5
20847,8.5,3.5,3.5,4.0,4.5,3.5
13614,7.0,3.5,3.0,2.5,2.5,2.5
30673,10.0,4.0,4.0,4.0,4.0,4.0
36427,8.3,4.5,4.0,4.0,4.0,4.5
177,9.4,3.5,4.5,4.0,4.0,4.0
14978,4.8,3.5,4.0,4.0,3.5,4.0
12728,10.2,4.0,4.5,4.5,4.0,4.5
8500,3.0,4.0,3.5,4.5,4.5,4.5
18317,5.5,2.5,3.0,3.0,3.5,3.5
22225,4.4,3.0,3.0,2.5,3.0,3.0
2059,11.2,5.0,4.5,5.0,5.0,5.0
267,8.3,4.5,4.5,5.0,5.0,5.0
19429,6.1,4.0,4.0,4.5,4.5,4.5
26012,5.0,3.5,3.0,4.5,3.5,3.5
26543,5.6,4.0,4.0,4.5,4.5,4.5
32971,9.4,4.0,3.5,3.5,3.0,3.5
5358,9.0,4.0,4.5,4.5,5.0,4.5
28104,6.5,4.0,4.0,4.0,4.0,4.5
23187,12.0,4.0,4.0,3.5,4.0,4.0
25151,4.4,3.5,3.0,3.5,4.0,3.5
5426,9.0,4.5,3.5,4.0,4.0,4.5
22069,7.5,4.0,3.5,3.5,3.0,4.5
4842,6.5,4.5,4.0,4.0,4.0,4.0
14782,5.7,3.5,3.5,3.5,3.0,3.0
27682,12.0,4.0,4.5,2.5,4.5,4.0
32721,10.2,4.0,5.0,4.0,4.0,4.5
21306,4.7,3.0,3.5,2.5,2.5,3.0
31496,6.0,4.0,4.5,3.5,3.5,4.0
14091,7.2,4.5,4.5,4.0,3.0,5.0
5135,4.9,3.5,3.0,3.5,3.5,3.0
7768,8.2,2.0,1.5,1.5,1.5,1.0
31911,10.5,4.0,4.5,4.5,4.5,4.0
19210,9.4,4.0,4.0,4.0,4.5,4.5
10986,6.0,4.0,3.0,4.0,3.0,3.5
11263,5.1,3.5,3.5,3.5,3.5,3.5
33900,3.5,2.0,2.0,2.0,1.5,1.5
31570,6.9,4.0,4.5,4.0,4.5,4.5
23034,7.2,4.0,3.5,3.0,4.0,3.5
8404,12.0,4.0,4.0,4.0,4.0,4.5
26757,10.2,3.5,4.0,4.0,4.5,4.0
23024,5.2,4.5,4.0,3.5,4.0,3.5
23653,5.2,4.0,3.5,3.5,3.5,4.0
21489,9.4,4.0,4.5,4.5,4.0,4.0
24393,8.5,4.0,4.5,4.0,4.0,4.0
37426,6.5,4.5,4.5,4.5,4.0,4.0
16530,5.0,4.0,3.0,4.0,4.0,3.5
14014,4.4,4.0,3.0,4.0,3.5,3.5
18358,9.4,4.0,4.0,4.0,4.0,4.0
16418,9.4,4.0,4.0,4.0,4.5,4.0
17386,6.5,3.5,3.0,4.0,4.0,3.5
17895,6.5,4.5,4.0,4.5,4.0,4.5
36318,6.6,4.5,4.5,4.0,4.0,4.0
17460,9.5,4.0,4.0,4.5,5.0,4.5
10484,6.1,3.5,3.5,4.0,3.5,3.5
3198,8.1,4.0,3.5,3.5,4.0,4.0
4304,5.0,4.0,4.0,4.0,4.0,4.0
35933,9.0,4.0,3.5,3.5,4.0,4.0
6934,8.3,4.0,5.0,4.0,4.0,4.5
29310,7.2,4.0,4.5,4.0,4.0,4.0
1992,8.5,4.0,3.5,4.5,4.0,4.5
15639,10.5,4.0,4.0,4.5,4.5,4.5
32301,5.4,3.5,4.0,4.0,4.0,3.5
33999,5.4,5.0,4.0,4.0,4.0,4.0
33325,6.5,4.0,4.0,4.0,4.5,3.5
11378,12.0,3.5,4.0,4.0,3.5,4.0
23359,6.3,4.0,3.5,4.5,4.0,4.0
7144,8.3,4.5,4.0,4.0,4.0,4.5
6876,10.5,4.5,4.0,4.5,4.5,4.5
9985,5.5,3.5,4.0,4.0,3.5,4.0
4393,11.2,4.5,5.0,4.5,4.0,4.5
32690,6.6,4.5,4.5,5.0,4.5,5.0
14646,12.0,4.0,5.0,4.0,3.0,4.0
622,4.9,4.0,3.5,3.5,4.0,3.5
9687,6.1,3.5,4.0,4.0,4.0,4.0
23438,9.2,4.5,4.5,4.0,3.5,4.0
24635,7.5,4.5,4.5,4.5,4.5,4.5
8904,8.5,4.0,3.5,4.0,4.0,4.0
996,5.5,4.0,4.0,3.5,4.0,3.5
37045,8.5,4.0,5.0,3.5,2.0,4.0
3923,5.5,4.0,2.0,2.5,3.5,1.5
12296,8.3,4.5,4.0,4.5,5.0,4.5
9728,5.9,4.0,3.5,4.0,4.0,4.0
686,12.0,4.0,4.5,4.0,4.0,4.0
26265,7.0,5.0,4.0,4.5,5.0,4.0
28813,4.7,5.0,3.0,4.0,2.5,4.0
7284,4.9,3.0,3.5,4.5,4.5,4.5
32549,11.2,5.0,4.5,4.0,5.0,5.0
37495,5.5,4.0,3.5,3.5,3.5,3.5
16902,9.4,4.0,4.5,3.5,4.0,4.5
6896,5.4,3.5,4.0,4.0,4.0,3.5
35172,6.8,4.0,4.0,4.0,4.0,4.0
20564,9.8,4.0,4.0,4.0,4.5,4.5
34373,9.0,4.5,4.5,4.0,4.0,4.5
15341,5.0,4.0,3.5,4.5,4.0,4.0
14068,5.2,4.0,4.0,4.5,4.5,4.5
29048,5.5,3.5,3.5,3.5,3.5,3.5
14806,4.9,2.0,2.0,2.5,2.0,2.0
18723,8.3,4.5,4.5,5.0,5.0,5.0
5815,6.0,3.5,3.5,4.0,3.5,4.0
1411,6.5,4.0,4.0,3.5,4.0,3.5
10836,9.4,4.0,3.5,4.0,4.5,4.5
6551,5.6,4.0,3.5,4.0,4.0,4.0
6536,8.6,3.5,4.0,4.0,4.5,3.5
32691,5.2,4.0,3.0,3.0,3.0,2.5
17161,9.4,4.5,5.0,5.0,5.0,5.0
22279,10.6,4.5,4.5,4.5,5.0,5.0
36869,10.5,4.5,4.5,4.0,4.0,4.0
21660,10.2,4.0,4.5,3.5,4.0,4.5
3690,8.0,4.5,4.5,4.5,4.0,4.0
27133,11.2,4.5,4.0,4.0,4.0,4.0
32814,10.0,4.0,3.5,4.5,4.0,3.5
850,6.1,3.5,3.5,4.0,4.0,4.0
10084,7.0,3.0,3.0,3.5,3.0,3.5
5604,7.0,3.5,4.5,4.5,4.5,4.0
9392,9.0,4.5,4.5,4.0,3.0,4.5
2208,5.7,3.5,3.5,4.0,4.0,3.5
15364,8.3,3.5,4.0,4.0,4.0,4.5
7880,9.8,5.0,5.0,4.5,4.5,4.5
17255,8.6,3.5,4.5,2.0,2.5,1.5
23276,4.4,4.5,4.0,4.5,4.0,4.5
22482,10.6,4.5,4.5,4.5,4.5,4.5
25726,5.0,4.5,3.0,4.0,4.5,3.5
9270,5.0,3.0,3.5,3.5,3.5,3.0
7955,6.8,4.0,4.5,4.0,4.0,4.0
36746,6.5,4.5,5.0,4.5,4.0,4.0
36228,8.3,4.0,4.0,4.5,4.5,4.5
6436,39.44,3.5,3.5,3.0,3.5,3.5
36629,6.6,3.5,4.0,4.5,4.5,5.0
12206,5.2,4.0,4.5,4.0,4.0,4.0
29359,9.0,4.0,4.5,4.5,4.0,4.5
15348,4.5,3.5,3.5,3.5,3.5,3.5
30846,6.1,4.5,4.0,4.0,4.0,4.5
14300,9.0,4.5,4.5,4.5,4.0,4.0
28894,4.5,3.0,2.0,2.0,2.0,2.0
14787,5.7,4.5,4.0,3.5,3.5,3.5
2298,8.5,4.0,3.5,4.0,4.0,4.0
5563,8.0,4.0,4.5,4.0,4.0,4.5
23293,8.0,4.5,4.5,5.0,4.5,4.5
12456,6.5,3.0,3.0,3.5,4.0,3.0
28507,7.8,4.0,4.0,4.0,4.0,4.0
27782,8.0,3.5,4.0,2.5,3.0,2.5
28123,4.4,3.5,2.5,3.0,3.0,3.0
9786,6.0,4.0,4.0,4.0,4.0,4.0
25903,6.8,2.0,3.5,4.0,2.0,4.0
6992,5.4,4.0,4.0,4.0,4.0,4.0
19334,5.0,3.0,3.0,3.0,3.0,3.0
2388,6.4,3.5,3.5,3.0,3.0,3.0
19232,5.2,3.5,3.5,4.0,3.5,3.5
5556,4.75,4.0,4.0,4.0,4.0,4.0
10801,6.6,4.0,4.0,4.0,4.0,4.0
23562,5.6,2.5,3.5,2.5,2.5,3.0
30044,8.0,3.0,2.5,2.5,3.5,2.5
3834,6.5,4.0,4.0,4.0,3.5,4.0
34284,10.0,4.0,3.5,3.0,4.0,3.0
33602,10.2,4.0,2.5,4.5,4.5,4.0
19358,4.3,4.5,4.0,4.5,4.0,4.0
22584,7.5,4.0,3.0,3.5,3.0,3.0
10906,10.5,4.0,4.0,4.5,4.0,4.0
16247,5.0,3.0,3.0,4.5,4.0,3.5
24588,4.7,4.0,4.0,4.0,4.0,3.5
6067,5.5,3.5,4.0,3.5,4.0,3.5
26404,4.8,3.0,3.0,3.0,4.0,2.5
23690,4.7,3.5,3.5,4.0,3.5,4.0
21952,11.2,4.5,4.0,4.5,4.5,5.0
35245,4.4,4.5,3.5,4.5,4.0,4.0
14137,6.6,4.0,4.5,4.0,4.5,4.0
32931,6.5,2.0,2.0,1.5,2.0,2.0
31699,3.5,3.0,2.0,2.5,3.0,2.0
20362,4.9,3.5,3.5,3.5,3.0,3.5
7586,4.2,1.5,1.0,1.0,1.5,2.0
1928,7.2,4.0,4.0,4.0,4.0,4.0
26638,8.3,4.5,4.5,5.0,5.0,5.0
26804,8.6,4.5,4.0,2.5,2.5,2.5
736,7.5,3.5,3.5,4.0,4.0,3.5
7801,4.5,3.5,4.0,3.5,3.5,3.5
30175,6.9,4.0,3.0,3.0,3.0,3.5
9620,8.3,4.0,4.0,4.0,3.0,3.5
28559,8.3,5.0,4.5,5.0,4.5,4.5
7974,6.2,3.5,4.0,4.0,4.0,4.0
252,9.4,4.0,4.0,4.0,4.5,4.5
1719,8.3,5.0,5.0,5.0,5.0,5.0
20370,5.4,4.0,4.0,4.5,4.0,4.5
25233,12.0,3.5,5.0,4.0,4.0,5.0
3704,4.7,3.0,2.0,2.0,2.0,2.5
30067,8.3,4.0,4.5,4.5,4.0,4.5
2404,8.5,4.0,4.0,3.0,3.0,3.0
5716,10.4,4.0,4.5,3.5,4.0,4.0
20940,7.0,5.0,4.5,4.0,5.0,4.5
1053,7.2,4.5,4.5,5.0,4.5,4.5
6578,10.5,4.0,4.0,4.5,4.0,4.5
28929,9.4,4.0,4.0,4.5,4.5,4.5
29650,12.0,3.5,3.5,3.5,3.0,3.5
37457,8.3,4.0,4.5,4.0,3.5,4.5
12469,12.0,4.0,4.5,4.0,4.0,4.5
25779,12.0,3.5,4.0,3.0,4.0,4.5
2091,10.2,4.0,4.5,3.5,4.5,5.0
1009,6.1,4.0,4.0,4.5,4.0,4.5
34792,9.4,4.5,4.0,3.0,3.0,4.0
27687,8.3,3.5,2.0,1.5,2.5,3.0
31356,6.0,3.5,4.5,4.0,4.0,4.0
25224,11.2,4.5,5.0,5.0,4.5,5.0
32937,5.5,4.0,4.0,4.0,3.0,4.0
19767,6.1,4.5,3.5,4.0,4.0,4.0
17736,9.4,3.5,4.0,4.5,4.5,4.5
11890,10.5,5.0,4.5,4.5,4.0,4.5
12694,6.25,4.0,4.5,4.0,3.5,4.0
24922,7.2,4.0,4.0,4.0,4.0,4.5
12678,9.2,4.0,4.0,3.5,4.0,4.0
18719,6.6,3.5,2.0,2.5,3.0,2.5
11506,10.2,3.5,4.5,3.5,4.0,4.0
31639,4.7,4.0,2.5,3.0,3.5,2.5
8045,10.2,4.0,4.5,4.5,4.0,4.5
30599,9.8,4.5,4.0,4.0,5.0,4.5
18417,3.5,3.0,3.0,3.5,3.5,3.5
20416,12.0,4.0,4.0,4.5,4.5,4.5
878,4.7,3.5,3.0,3.5,4.0,3.5
11792,8.1,3.5,4.0,4.5,4.0,4.5
25925,5.59,4.0,3.0,3.0,3.0,3.5
35292,8.3,4.5,4.5,4.0,4.0,4.5
15632,12.0,4.0,4.0,3.5,4.0,4.5
37168,12.5,4.5,4.0,4.5,4.0,4.0
14703,6.6,4.0,4.5,4.0,4.0,4.0
21415,5.1,3.5,3.5,4.0,2.5,3.0
28517,8.5,3.5,4.0,3.5,4.0,4.0
36489,8.3,4.5,4.5,4.0,4.0,4.5
29982,5.7,4.0,3.5,3.5,3.0,4.0
17847,11.2,4.0,4.0,4.5,4.0,4.5
12276,8.3,4.0,4.5,5.0,5.0,5.0
15825,6.9,4.5,4.0,4.5,4.5,4.0
24316,5.5,4.0,3.0,3.0,4.0,3.0
6660,6.5,4.0,5.0,4.5,4.5,4.5
27365,9.0,4.0,4.5,4.5,4.5,4.0
3154,10.6,5.0,4.5,5.0,5.0,5.0
23537,4.4,4.5,4.5,4.0,4.0,4.5
8487,8.0,3.0,4.0,4.0,4.0,4.0
36441,7.0,4.0,4.0,4.0,3.5,4.0
22380,10.5,4.5,4.5,4.5,3.0,5.0
23523,8.0,3.5,3.0,3.5,4.0,3.5
359,6.5,5.0,3.5,3.0,5.0,5.0
3132,4.5,4.0,3.5,3.5,4.0,3.5
1219,5.7,3.5,4.5,4.5,4.0,4.0
27755,6.5,3.0,3.0,4.0,3.5,3.5
28449,5.0,4.0,3.5,3.5,3.5,3.5
7755,12.0,3.0,4.0,2.0,2.5,3.0
18436,10.2,4.5,3.5,4.0,4.5,4.5
31949,5.5,4.0,3.5,4.0,3.5,4.0
18786,10.2,4.0,4.5,4.5,4.0,4.0
3263,4.8,3.0,3.0,3.5,3.5,3.5
8156,4.4,4.5,3.5,4.5,4.5,4.5
36048,6.1,3.5,3.5,4.0,3.5,3.5
22764,5.7,4.5,4.0,4.5,4.5,4.5
12904,7.0,4.0,4.5,4.0,3.5,4.5
36655,6.6,4.5,4.5,4.5,4.0,5.0
26844,10.0,4.0,3.5,4.0,5.0,4.5
24590,4.3,4.0,4.0,4.5,4.5,4.0
9803,11.2,4.5,4.5,4.5,5.0,5.0
11189,6.5,4.0,4.0,4.5,4.5,4.0
36794,8.0,3.0,4.5,4.0,3.5,4.0
8925,10.2,4.0,5.0,4.5,4.0,4.5
24159,11.2,4.0,4.5,4.0,5.0,4.0
10075,4.4,4.0,3.5,4.0,4.0,3.5
25930,7.2,4.0,3.5,4.0,3.5,4.0
